2014-01-022014-01-02,39.69143,39.787858,39.43,39.509284,469369600,88.29922784767673,101.99235001628539,-210.14327394133153,-84.82375432903545,38.56447124,38.53012072043394,36.74520714,36.96942558199524,0.3892731996448332,39.9585353,0.6428560000000018,0.611444838638866,0.6326028689332523,bearishbearish
2014-01-032014-01-03,39.490002,39.55,38.602142,38.64143,784935200,66.18866490258631,87.76705708756641,-304.3019972811878,-249.02396658560363,38.5946284,38.53448595887132,36.79779286,37.00274176893408,0.2657737133683326,39.8727496,0.9478579999999964,0.6595038616904562,0.6551210927314076,bullishbullish
2014-01-062014-01-06,38.389286,39.05714,38.114284,38.852142,825221600,75.05132205146008,91.71603805307389,-264.61297947589316,-260.2447005113488,38.6217284,38.546943520945504,36.836621400000006,37.039588160611395,0.1827950307609568,39.78714240000001,0.942855999999999,0.6999827385918194,0.6756735862353118,bearishbearish
2014-01-072014-01-07,38.880002,38.997142,38.42286,38.574288,634418400,68.11124869311584,87.35141539085664,-179.17401803225488,-216.1780372537076,38.63334272,38.5480158917026,36.86629284,37.07016092882305,0.09353511674513,39.7157855,0.5742819999999966,0.682025490221559,0.6684313300339024,bullishbullish
2014-01-082014-01-08,38.486428,38.96857,38.47786,38.818572,517059200,79.53699473439704,92.2082144553304,-117.05107882846018,-164.3000648358111,38.65834272,38.55862629873634,36.89882858,37.104986894985196,0.042023251112539,39.6337498,0.49071,0.6546947059041934,0.6557369492492516,bearishbearish
2014-01-092014-01-09,39.05714,39.061428,38.239284,38.322856,558297600,66.00043479808917,84.26837679731322,-147.903949636522,-190.82153188295212,38.6678284,38.54938010026701,36.92325,37.12924235852042,-0.0383582418287318,39.5300712,0.8221440000000014,0.6786160336321662,0.6676231672190934,bearishbearish
2014-01-102014-01-10,38.559284,38.62857,37.936428,38.067142,609952000,59.86839317590156,80.42139725180382,-264.5047328718213,-227.19083572876028,38.691057,38.530468204020366,36.94124998,37.147919726847874,-0.1212969015900994,39.4285712,0.692142000000004,0.6805483145418572,0.6693745124258123,bullishbullish
2014-01-132014-01-13,37.850716,38.75,37.848572,38.26643,756985600,70.7840032176324,84.83396112138703,-194.3739318050579,-183.9997507151204,38.70652844,38.52011344996291,36.96600714,37.17019128632512,-0.1689974139487162,39.3399642,0.9014280000000028,0.7121025553215922,0.6859497616092844,bullishbullish
2014-01-142014-01-14,38.444286,39.052144,38.404286,39.027858,665123200,104.08703153853328,100.01509912665253,185.81296501039785,-75.62032198387583,38.74037136,38.54002558234967,36.99745714,37.20717672343744,-0.1437030187343068,39.31125,0.7857139999999986,0.722618475989936,0.6930757786655486,bullishbullish
2014-01-152014-01-15,39.537144,40.014286,39.404286,39.811428,783277600,126.75215317183468,112.75981395146574,408.6195379920474,122.00232137540868,38.79369992,38.58988589944458,37.0363143,37.25902079454408,-0.0597408229415492,39.3107501,0.9864279999999964,0.760305550848516,0.71402950883829,bearishbearish
2014-01-162014-01-16,39.635716,39.775002,39.405712,39.589286,458556000,117.56347965897314,108.53597852215206,211.40299669196415,113.74868171860832,38.83298564,38.62907911663914,37.07433572,37.30540560095104,-0.0109983980306224,39.3081072,0.4057159999999982,0.7096499007272994,0.6920071152742804,bearishbearish
2014-01-172014-01-17,39.39143,39.43357,38.564286,38.619286,853479200,85.8563065843424,92.2808641091768,1.356919773214559,-40.31066222079552,38.85472852,38.62869506290378,37.10126428,37.331556181178286,-0.0500634678875258,39.2720358,1.0249999999999986,0.7546999149091134,0.7157923214018967,bullishbullish
2014-01-212014-01-21,38.642144,39.290714,38.601428,39.219288,657053600,104.45279099186433,102.0526643142286,29.58663445595136,19.956331510573268,38.89494284,38.65185614650745,37.14446432,37.36912450194618,-0.0322360729033164,39.2885002,0.6892860000000026,0.7453550699220975,0.7138990127247316,neutralneutral
2014-01-222014-01-22,39.350716,39.806428,39.129288,39.393574,759970400,109.45214281275975,104.75547862383193,107.00223761090801,174.60996358205293,38.9506858,38.68094381649768,37.1877572,37.40940968132767,-0.0039982213181558,39.2973932,0.6771399999999942,0.7356100599332258,0.711273368951466,bullishbullish
2014-01-232014-01-23,39.28143,39.75,38.915,39.727142,806478400,118.92442056490972,109.88109446290433,76.28098419172778,189.70394491752623,39.00157148,38.72197213856655,37.23381432,37.45552650174746,0.0447804284275932,39.2477146,0.8350000000000009,0.749808622799908,0.7201109854774764,bearishbearish
2014-01-242014-01-24,39.571426,39.687142,38.910714,39.005002,858709600,94.06965783512965,97.63160014494643,-70.17512717875711,84.14646091278733,39.04017152,38.73307159374993,37.27585004,37.48635407652455,0.0248803913531148,39.1705717,0.8164280000000018,0.7593256766856358,0.7269907722453814,bullishbullish
2014-01-272014-01-27,39.290714,39.62857,38.982144,39.321426,1109757600,104.29479068367793,102.74757410595636,24.043035318759667,104.23098755205451,39.08372856,38.75614480475211,37.32007858,37.52286031851202,0.0342474575376242,39.1227144,0.6464260000000052,0.7431971514448312,0.7212361456437688,bearishbearish
2014-01-282014-01-28,36.34,36.785714,35.86214,36.178574,2131046400,49.2296570225208,66.95544632478175,-466.6666666666654,-586.5543515864488,39.06354288,38.65506153764209,37.3256572,37.49612003453416,-0.209515797596886,38.9313217,3.459286000000006,1.1312098440955707,0.9168111356400802,bearishbearish
2014-01-292014-01-29,35.99643,36.240716,35.615716,35.767856,1005620000,45.56204110858821,63.8263396493933,-253.68420172548568,-433.5713293287936,39.02438568,38.54183557508713,37.3295715,37.46174482775767,-0.4308745895098056,38.73928600000001,0.625,1.0588941520819177,0.8959674830548304,neutralneutral
